Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 01:22:57,1,0
2021/06/09 01:23:38,1,0
2021/06/09 01:23:46,1,0
2021/06/09 01:23:57,1,0
2021/06/09 01:25:55,1,0
2021/06/09 01:26:38,1,0
2021/06/09 01:27:10,0,1
2021/06/09 01:28:31,1,0
2021/06/09 01:28:39,0,1
2021/06/09 01:28:50,1,0
2021/06/09 01:29:49,1,0
2021/06/09 01:30:15,0,1
2021/06/09 01:30:29,1,0
2021/06/09 01:30:58,1,0
2021/06/09 01:31:40,1,0
2021/06/09 01:31:50,1,0
2021/06/09 01:32:00,0,1
2021/06/09 01:33:18,1,0
2021/06/09 01:36:19,1,0
2021/06/09 01:36:46,1,0
2021/06/09 01:36:52,1,0
2021/06/09 01:38:29,0,1
2021/06/09 01:39:01,1,0
2021/06/09 01:40:51,0,1
2021/06/09 01:40:59,1,0
2021/06/09 01:41:03,1,0
2021/06/09 01:41:10,1,0
2021/06/09 01:41:20,0,1
2021/06/09 01:43:17,1,0
2021/06/09 01:43:28,1,0
2021/06/09 01:44:00,1,0
2021/06/09 01:44:03,1,0
2021/06/09 01:44:29,1,0
2021/06/09 01:44:37,1,0
2021/06/09 01:45:09,1,0
2021/06/09 01:46:37,1,0
2021/06/09 01:50:02,1,0
2021/06/09 01:50:23,0,1
2021/06/09 01:50:34,1,0
2021/06/09 01:51:31,0,1
2021/06/09 01:52:00,1,0
2021/06/09 01:52:24,1,0
2021/06/09 01:52:31,1,0
2021/06/09 01:52:35,1,0
2021/06/09 01:54:38,1,0
2021/06/09 01:54:51,1,0
2021/06/09 01:57:56,1,0
2021/06/09 01:59:58,1,0
2021/06/09 02:00:32,0,1
2021/06/09 02:00:55,1,0
2021/06/09 02:02:54,1,0
2021/06/09 02:04:01,1,0
2021/06/09 02:04:22,1,0
2021/06/09 02:04:33,0,1
2021/06/09 02:04:44,1,0
2021/06/09 02:05:07,1,0
2021/06/09 02:05:25,0,1
2021/06/09 02:05:35,0,1
2021/06/09 02:06:15,1,0
2021/06/09 02:06:38,1,0
2021/06/09 02:10:19,1,0
2021/06/09 02:10:32,1,0
2021/06/09 02:11:03,1,0
2021/06/09 02:13:20,0,1
2021/06/09 02:15:15,1,0
2021/06/09 02:17:01,1,0
2021/06/09 02:17:17,0,1
2021/06/09 02:17:31,0,1
2021/06/09 02:17:54,1,0
2021/06/09 02:18:13,1,0
2021/06/09 02:18:54,1,0
2021/06/09 02:19:09,1,0
2021/06/09 02:20:56,1,0
2021/06/09 02:21:07,0,1
2021/06/09 02:21:12,1,0
2021/06/09 02:22:03,1,0
2021/06/09 02:22:36,1,0
2021/06/09 02:22:44,0,1
2021/06/09 02:24:37,1,0
2021/06/09 02:26:39,1,0
2021/06/09 02:28:08,1,0
2021/06/09 02:28:24,0,1
2021/06/09 02:30:21,1,0
2021/06/09 02:32:16,1,0
2021/06/09 02:32:37,1,0
2021/06/09 02:33:08,0,1
2021/06/09 02:33:19,1,0
2021/06/09 02:33:22,1,0
2021/06/09 02:33:40,1,0
2021/06/09 02:33:55,1,0
2021/06/09 02:34:14,1,0
2021/06/09 02:34:19,0,1
2021/06/09 02:34:34,1,0
2021/06/09 02:34:38,1,0
2021/06/09 02:34:52,1,0
2021/06/09 02:37:24,1,0
2021/06/09 02:38:09,1,0
2021/06/09 02:38:28,1,0
2021/06/09 02:39:34,1,0
2021/06/09 02:40:09,1,0
2021/06/09 02:40:26,1,0
2021/06/09 02:42:32,0,1
2021/06/09 02:45:58,1,0
2021/06/09 02:47:44,1,0
2021/06/09 02:51:15,1,0
2021/06/09 02:51:50,0,1
2021/06/09 02:52:11,1,0
2021/06/09 02:56:19,1,0
2021/06/09 02:57:02,1,0
2021/06/09 02:59:27,0,1
2021/06/09 02:59:39,1,0
2021/06/09 02:59:49,1,0
2021/06/09 02:59:59,1,0
2021/06/09 03:00:17,1,0
2021/06/09 03:00:35,0,1
2021/06/09 03:00:44,1,0
2021/06/09 03:02:29,1,0
2021/06/09 03:02:45,0,1
2021/06/09 03:02:55,0,1
2021/06/09 03:03:01,1,0
2021/06/09 03:03:37,1,0
2021/06/09 03:04:20,1,0
2021/06/09 03:07:37,1,0
2021/06/09 03:07:43,0,1
2021/06/09 03:07:53,0,1
2021/06/09 03:08:20,1,0
2021/06/09 03:10:14,1,0
2021/06/09 03:12:13,1,0
2021/06/09 03:16:01,1,0
2021/06/09 03:17:54,1,0
2021/06/09 03:18:30,1,0
2021/06/09 03:20:26,1,0
2021/06/09 03:20:37,1,0
2021/06/09 03:20:46,1,0
2021/06/09 03:20:49,1,0
2021/06/09 03:22:37,1,0
2021/06/09 03:23:41,1,0
2021/06/09 03:23:50,1,0
2021/06/09 03:25:49,1,0
2021/06/09 03:26:00,1,0
2021/06/09 03:27:55,1,0
2021/06/09 03:28:01,1,0
2021/06/09 03:28:12,1,0
2021/06/09 03:28:23,1,0
2021/06/09 03:28:43,1,0
2021/06/09 03:28:48,1,0
2021/06/09 03:28:55,1,0
2021/06/09 03:29:10,1,0
2021/06/09 03:29:17,1,0
2021/06/09 03:29:35,1,0
2021/06/09 03:30:03,1,0
2021/06/09 03:30:11,1,0
2021/06/09 03:32:36,0,1
2021/06/09 03:32:58,1,0
2021/06/09 03:33:43,1,0
2021/06/09 03:34:09,1,0
2021/06/09 03:34:24,1,0
2021/06/09 03:34:44,1,0
2021/06/09 03:36:57,1,0
2021/06/09 03:37:14,1,0
2021/06/09 03:37:18,1,0
2021/06/09 03:37:39,1,0
2021/06/09 03:37:56,1,0
2021/06/09 03:38:05,0,1
2021/06/09 03:38:19,0,1
2021/06/09 03:38:31,1,0
2021/06/09 03:38:51,1,0
2021/06/09 03:39:02,1,0
2021/06/09 03:39:39,1,0
2021/06/09 03:41:37,1,0
2021/06/09 03:41:42,1,0
2021/06/09 03:42:01,1,0
2021/06/09 03:42:14,1,0
2021/06/09 03:43:22,1,0
2021/06/09 03:43:29,1,0
2021/06/09 03:45:35,1,0
2021/06/09 03:48:13,1,0
2021/06/09 03:48:20,1,0
2021/06/09 03:50:21,0,1
2021/06/09 03:52:47,1,0
2021/06/09 03:52:56,1,0
2021/06/09 03:53:29,1,0
2021/06/09 03:55:21,1,0
2021/06/09 03:55:27,0,1
2021/06/09 03:55:35,1,0
2021/06/09 03:55:54,1,0
2021/06/09 03:56:04,1,0
2021/06/09 03:56:47,1,0
2021/06/09 03:57:03,1,0
2021/06/09 03:57:17,1,0
2021/06/09 03:58:51,1,0
2021/06/09 03:58:55,0,1
2021/06/09 03:59:15,1,0
2021/06/09 03:59:56,1,0
2021/06/09 04:00:23,1,0
2021/06/09 04:02:09,0,1
2021/06/09 04:02:27,1,0
2021/06/09 04:03:07,1,0
2021/06/09 04:05:04,1,0
2021/06/09 04:06:53,0,1
2021/06/09 04:07:02,0,1
2021/06/09 04:07:15,1,0
2021/06/09 04:07:32,1,0
2021/06/09 04:07:32,235,65
