Date,WinWL,WinWLLstm
2021/06/01 07:22:01,1,0
2021/06/01 07:25:45,0,1
2021/06/01 07:27:51,1,0
2021/06/01 07:28:06,1,0
2021/06/01 07:28:26,1,0
2021/06/01 07:28:47,0,1
2021/06/01 07:28:59,1,0
2021/06/01 07:29:17,1,0
2021/06/01 07:30:35,0,1
2021/06/01 07:30:40,0,1
2021/06/01 07:31:06,0,1
2021/06/01 07:31:44,1,0
2021/06/01 07:32:27,1,0
2021/06/01 07:32:38,1,0
2021/06/01 07:32:46,0,1
2021/06/01 07:32:58,0,1
2021/06/01 07:33:07,1,0
2021/06/01 07:33:14,0,1
2021/06/01 07:35:23,1,0
2021/06/01 07:37:34,1,0
2021/06/01 07:38:12,0,1
2021/06/01 07:38:54,1,0
2021/06/01 07:39:03,0,1
2021/06/01 07:39:10,1,0
2021/06/01 07:39:30,1,0
2021/06/01 07:41:44,1,0
2021/06/01 07:41:48,0,1
2021/06/01 07:42:13,0,1
2021/06/01 07:43:02,0,1
2021/06/01 07:43:07,0,1
2021/06/01 07:43:15,0,1
2021/06/01 07:43:53,0,1
2021/06/01 07:44:11,1,0
2021/06/01 07:44:20,0,1
2021/06/01 07:46:15,1,0
2021/06/01 07:46:30,1,0
2021/06/01 07:46:42,0,1
2021/06/01 07:46:54,1,0
2021/06/01 07:47:00,0,1
2021/06/01 07:47:15,1,0
2021/06/01 07:47:55,0,1
2021/06/01 07:48:13,1,0
2021/06/01 07:48:24,1,0
2021/06/01 07:48:37,1,0
2021/06/01 07:48:52,0,1
2021/06/01 07:50:48,0,1
2021/06/01 07:50:54,1,0
2021/06/01 07:55:02,1,0
2021/06/01 07:55:17,1,0
2021/06/01 07:55:50,1,0
2021/06/01 07:55:55,0,1
2021/06/01 07:56:11,1,0
2021/06/01 07:56:34,0,1
2021/06/01 07:56:45,1,0
2021/06/01 07:57:07,1,0
2021/06/01 07:57:27,0,1
2021/06/01 07:57:43,0,1
2021/06/01 07:57:58,1,0
