Date,WinCL,WinWL
2021/05/28 08:18:18,1,0
2021/05/28 08:18:21,1,0
2021/05/28 08:18:22,1,0
2021/05/28 08:18:24,0,1
2021/05/28 08:18:26,0,1
2021/05/28 08:18:27,1,0
2021/05/28 08:18:30,1,0
2021/05/28 08:18:32,0,1
2021/05/28 08:18:33,1,0
2021/05/28 08:18:33,0,1
2021/05/28 08:18:37,1,0
2021/05/28 08:18:38,1,0
2021/05/28 08:18:39,1,0
2021/05/28 08:18:42,0,1
2021/05/28 08:18:45,1,0
2021/05/28 08:18:47,0,1
2021/05/28 08:18:49,0,1
2021/05/28 08:18:52,1,0
2021/05/28 08:18:52,0,1
2021/05/28 08:18:58,0,1
2021/05/28 08:19:04,0,1
2021/05/28 08:19:05,1,0
2021/05/28 08:19:08,1,0
2021/05/28 08:19:09,1,0
2021/05/28 08:19:12,0,1
2021/05/28 08:19:16,1,0
2021/05/28 08:19:17,0,1
2021/05/28 08:19:20,1,0
2021/05/28 08:19:22,1,0
2021/05/28 08:19:22,1,0
2021/05/28 08:19:22,1,0
2021/05/28 08:19:23,1,0
2021/05/28 08:19:29,1,0
2021/05/28 08:19:30,1,0
2021/05/28 08:19:41,1,0
2021/05/28 08:19:44,0,1
2021/05/28 08:19:46,1,0
2021/05/28 08:19:50,1,0
2021/05/28 08:19:57,1,0
2021/05/28 08:20:00,0,1
2021/05/28 08:20:03,1,0
2021/05/28 08:20:04,1,0
2021/05/28 08:20:14,1,0
2021/05/28 08:20:19,0,1
