Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/10 10:52:25,0,1
2021/06/10 10:52:26,0,1
2021/06/10 10:52:28,0,1
2021/06/10 10:52:29,1,0
2021/06/10 10:52:30,1,0
2021/06/10 10:52:32,1,0
2021/06/10 10:52:37,1,0
2021/06/10 10:52:38,0,1
2021/06/10 10:52:39,0,1
2021/06/10 10:52:39,1,0
2021/06/10 10:52:40,1,0
2021/06/10 10:52:41,1,0
2021/06/10 10:52:41,0,1
2021/06/10 10:52:42,1,0
2021/06/10 10:52:49,1,0
2021/06/10 10:52:51,1,0
2021/06/10 10:52:56,1,0
2021/06/10 10:52:58,0,1
2021/06/10 10:52:58,1,0
2021/06/10 10:52:59,1,0
2021/06/10 10:53:05,1,0
2021/06/10 10:53:06,1,0
2021/06/10 10:53:06,0,1
2021/06/10 10:53:10,0,1
2021/06/10 10:53:11,1,0
2021/06/10 10:53:12,1,0
2021/06/10 10:53:15,0,1
2021/06/10 10:53:15,0,1
2021/06/10 10:53:18,1,0
2021/06/10 10:53:19,1,0
2021/06/10 10:53:23,1,0
2021/06/10 10:53:25,1,0
2021/06/10 10:53:27,1,0
2021/06/10 10:53:28,1,0
2021/06/10 10:53:32,1,0
2021/06/10 10:53:35,1,0
2021/06/10 10:53:36,0,1
2021/06/10 10:53:37,0,1
2021/06/10 10:53:41,1,0
2021/06/10 10:53:43,0,1
2021/06/10 10:53:49,1,0
2021/06/10 10:53:57,1,0
2021/06/10 10:54:00,1,0
2021/06/10 10:54:00,1,0
2021/06/10 10:54:02,1,0
2021/06/10 10:54:05,1,0
2021/06/10 10:54:19,1,0
2021/06/10 10:54:20,1,0
2021/06/10 10:54:24,1,0
2021/06/10 10:54:24,0,1
2021/06/10 10:54:27,1,0
2021/06/10 10:54:28,0,1
2021/06/10 10:54:32,1,0
2021/06/10 10:54:34,1,0
2021/06/10 10:54:42,1,0
2021/06/10 10:54:47,1,0
2021/06/10 10:54:53,1,0
2021/06/10 10:55:00,1,0
2021/06/10 10:55:01,1,0
2021/06/10 10:55:02,0,1
2021/06/10 10:55:09,1,0
2021/06/10 10:55:16,1,0
2021/06/10 10:55:19,1,0
2021/06/10 10:55:21,1,0
2021/06/10 10:55:31,1,0
2021/06/10 10:55:33,1,0
2021/06/10 10:55:40,1,0
2021/06/10 10:55:44,1,0
2021/06/10 10:55:44,0,1
2021/06/10 10:55:46,1,0
2021/06/10 10:55:54,1,0
2021/06/10 10:55:59,1,0
2021/06/10 10:56:03,1,0
2021/06/10 10:56:14,1,0
2021/06/10 10:56:19,1,0
2021/06/10 10:56:27,1,0
2021/06/10 10:56:31,1,0
2021/06/10 10:56:34,1,0
2021/06/10 10:56:35,1,0
2021/06/10 10:56:46,1,0
2021/06/10 10:56:55,1,0
2021/06/10 10:56:58,0,1
2021/06/10 10:56:58,0,1
2021/06/10 10:57:00,1,0
2021/06/10 10:57:01,1,0
