Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 06:59:55,1,0
2021/06/13 06:59:58,1,0
2021/06/13 06:59:59,1,0
2021/06/13 07:00:00,0,1
2021/06/13 07:00:01,1,0
2021/06/13 07:00:05,0,1
2021/06/13 07:00:10,1,0
2021/06/13 07:00:12,1,0
2021/06/13 07:00:20,0,1
2021/06/13 07:00:21,1,0
2021/06/13 07:00:31,0,1
2021/06/13 07:00:37,1,0
2021/06/13 07:00:41,0,1
2021/06/13 07:00:42,0,1
2021/06/13 07:00:44,1,0
2021/06/13 07:00:45,1,0
2021/06/13 07:00:46,0,1
2021/06/13 07:00:49,1,0
2021/06/13 07:00:52,1,0
2021/06/13 07:00:54,1,0
2021/06/13 07:00:57,1,0
2021/06/13 07:00:58,1,0
2021/06/13 07:00:58,0,1
2021/06/13 07:01:00,0,1
2021/06/13 07:01:06,1,0
2021/06/13 07:01:08,1,0
2021/06/13 07:01:11,1,0
2021/06/13 07:01:20,0,1
2021/06/13 07:01:25,0,1
2021/06/13 07:01:26,0,1
2021/06/13 07:01:29,1,0
2021/06/13 07:01:34,0,1
2021/06/13 07:01:40,1,0
2021/06/13 07:01:41,1,0
2021/06/13 07:01:43,1,0
2021/06/13 07:01:45,0,1
2021/06/13 07:01:49,1,0
2021/06/13 07:01:52,1,0
2021/06/13 07:01:58,0,1
2021/06/13 07:01:59,1,0
2021/06/13 07:01:59,0,1
2021/06/13 07:02:00,1,0
2021/06/13 07:02:04,1,0
2021/06/13 07:02:12,0,1
2021/06/13 07:02:15,0,1
2021/06/13 07:02:20,0,1
2021/06/13 07:02:23,0,1
2021/06/13 07:02:27,1,0
2021/06/13 07:02:31,0,1
2021/06/13 07:02:31,0,1
2021/06/13 07:02:40,0,1
2021/06/13 07:02:42,0,1
2021/06/13 07:02:48,1,0
2021/06/13 07:02:49,0,1
2021/06/13 07:03:07,0,1
2021/06/13 07:03:11,0,1
2021/06/13 07:03:15,0,1
2021/06/13 07:03:16,1,0
2021/06/13 07:03:26,1,0
2021/06/13 07:03:32,1,0
2021/06/13 07:03:50,0,1
2021/06/13 07:03:56,1,0
2021/06/13 07:03:58,1,0
2021/06/13 07:04:02,1,0
2021/06/13 07:04:03,1,0
2021/06/13 07:04:04,0,1
2021/06/13 07:04:10,1,0
2021/06/13 07:04:35,0,1
2021/06/13 07:04:43,1,0
2021/06/13 07:04:48,1,0
2021/06/13 07:05:00,1,0
2021/06/13 07:05:04,0,1
2021/06/13 07:05:17,0,1
2021/06/13 07:05:19,1,0
2021/06/13 07:05:24,1,0
2021/06/13 07:05:28,1,0
2021/06/13 07:05:30,0,1
2021/06/13 07:05:36,1,0
2021/06/13 07:05:38,1,0
2021/06/13 07:05:42,1,0
2021/06/13 07:05:43,1,0
2021/06/13 07:05:48,1,0
2021/06/13 07:05:48,1,0
2021/06/13 07:05:59,0,1
2021/06/13 07:06:01,1,0
2021/06/13 07:06:05,0,1
2021/06/13 07:06:09,0,1
2021/06/13 07:06:10,1,0
2021/06/13 07:06:12,1,0
2021/06/13 07:06:16,1,0
2021/06/13 07:06:17,0,1
2021/06/13 07:06:19,0,1
2021/06/13 07:06:26,0,1
2021/06/13 07:06:55,1,0
2021/06/13 07:06:56,1,0
2021/06/13 07:06:57,1,0
2021/06/13 07:07:15,0,1
2021/06/13 07:07:16,1,0
2021/06/13 07:07:27,1,0
