Date,WinCL,WinWL
2021/05/26 05:13:22,0,1
2021/05/26 05:13:31,1,0
2021/05/26 05:13:35,0,1
2021/05/26 05:13:35,0,1
2021/05/26 05:13:42,1,0
2021/05/26 05:13:43,0,1
2021/05/26 05:13:43,1,0
2021/05/26 05:14:03,0,1
2021/05/26 05:14:27,0,1
2021/05/26 05:14:33,0,1
2021/05/26 05:14:33,0,1
2021/05/26 05:14:42,0,1
2021/05/26 05:14:43,0,1
2021/05/26 05:14:47,0,1
2021/05/26 05:14:53,0,1
2021/05/26 05:15:02,1,0
2021/05/26 05:15:21,0,1
2021/05/26 05:15:27,0,1
2021/05/26 05:15:29,0,1
2021/05/26 05:15:32,1,0
2021/05/26 05:15:42,0,1
2021/05/26 05:15:50,0,1
2021/05/26 05:16:01,1,0
2021/05/26 05:16:01,1,0
2021/05/26 05:16:13,0,1
2021/05/26 05:16:15,0,1
2021/05/26 05:16:20,1,0
2021/05/26 05:16:20,1,0
2021/05/26 05:16:20,1,0
2021/05/26 05:16:27,1,0
2021/05/26 05:16:32,0,1
2021/05/26 05:16:34,0,1
2021/05/26 05:16:47,0,1
2021/05/26 05:17:04,0,1
2021/05/26 05:17:08,0,1
2021/05/26 05:17:12,1,0
2021/05/26 05:17:19,0,1
2021/05/26 05:17:22,0,1
2021/05/26 05:17:25,1,0
2021/05/26 05:17:26,1,0
2021/05/26 05:17:27,0,1
2021/05/26 05:17:34,1,0
2021/05/26 05:17:45,1,0
2021/05/26 05:17:49,1,0
2021/05/26 05:17:57,0,1
2021/05/26 05:18:00,0,1
2021/05/26 05:18:01,0,1
2021/05/26 05:18:15,0,1
2021/05/26 05:18:17,0,1
2021/05/26 05:18:26,1,0
2021/05/26 05:18:27,1,0
2021/05/26 05:18:31,1,0
2021/05/26 05:18:33,1,0
2021/05/26 05:18:44,0,1
2021/05/26 05:18:45,0,1
2021/05/26 05:18:50,1,0
2021/05/26 05:18:51,1,0
2021/05/26 05:18:57,0,1
2021/05/26 05:19:04,1,0
2021/05/26 05:19:06,0,1
2021/05/26 05:19:09,0,1
2021/05/26 05:19:15,0,1
2021/05/26 05:19:29,1,0
2021/05/26 05:19:29,1,0
2021/05/26 05:19:40,0,1
2021/05/26 05:19:46,1,0
2021/05/26 05:19:49,0,1
2021/05/26 05:19:53,1,0
2021/05/26 05:19:55,0,1
2021/05/26 05:20:00,1,0
2021/05/26 05:20:07,0,1
2021/05/26 05:20:13,1,0
2021/05/26 05:20:13,0,1
2021/05/26 05:20:21,0,1
2021/05/26 05:20:25,1,0
2021/05/26 05:20:28,0,1
2021/05/26 05:20:29,1,0
2021/05/26 05:20:30,0,1
2021/05/26 05:20:34,0,1
2021/05/26 05:20:42,1,0
2021/05/26 05:20:43,1,0
2021/05/26 05:20:44,1,0
2021/05/26 05:20:53,0,1
2021/05/26 05:20:58,0,1
2021/05/26 05:21:01,1,0
2021/05/26 05:21:11,1,0
2021/05/26 05:21:12,1,0
