Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 06:30:10,1,0
2021/06/13 06:30:10,1,0
2021/06/13 06:30:11,1,0
2021/06/13 06:30:11,1,0
2021/06/13 06:30:12,1,0
2021/06/13 06:30:12,1,0
2021/06/13 06:30:12,0,1
2021/06/13 06:30:13,1,0
2021/06/13 06:30:13,0,1
2021/06/13 06:30:14,1,0
2021/06/13 06:30:14,0,1
2021/06/13 06:30:14,1,0
2021/06/13 06:30:14,1,0
2021/06/13 06:30:15,1,0
2021/06/13 06:30:19,1,0
2021/06/13 06:30:20,1,0
2021/06/13 06:30:21,0,1
2021/06/13 06:30:22,0,1
2021/06/13 06:30:23,0,1
2021/06/13 06:30:24,1,0
2021/06/13 06:30:24,1,0
2021/06/13 06:30:27,1,0
2021/06/13 06:30:28,1,0
2021/06/13 06:30:28,1,0
2021/06/13 06:30:29,0,1
2021/06/13 06:30:30,0,1
2021/06/13 06:30:30,1,0
2021/06/13 06:30:31,1,0
2021/06/13 06:30:32,1,0
2021/06/13 06:30:32,1,0
2021/06/13 06:30:33,1,0
2021/06/13 06:30:34,0,1
2021/06/13 06:30:35,1,0
2021/06/13 06:30:35,0,1
2021/06/13 06:30:35,1,0
2021/06/13 06:30:36,1,0
2021/06/13 06:30:36,1,0
2021/06/13 06:30:40,0,1
2021/06/13 06:30:40,0,1
2021/06/13 06:30:42,1,0
2021/06/13 06:30:43,1,0
2021/06/13 06:30:43,0,1
2021/06/13 06:30:46,0,1
2021/06/13 06:30:47,0,1
2021/06/13 06:30:51,0,1
2021/06/13 06:30:52,1,0
2021/06/13 06:30:53,1,0
2021/06/13 06:30:54,1,0
2021/06/13 06:30:55,0,1
2021/06/13 06:30:56,1,0
2021/06/13 06:30:57,0,1
2021/06/13 06:30:59,0,1
2021/06/13 06:31:00,1,0
2021/06/13 06:31:01,1,0
2021/06/13 06:31:02,0,1
2021/06/13 06:31:05,0,1
2021/06/13 06:31:06,0,1
2021/06/13 06:31:08,1,0
2021/06/13 06:31:10,0,1
2021/06/13 06:31:10,1,0
2021/06/13 06:31:11,1,0
2021/06/13 06:31:15,0,1
2021/06/13 06:31:15,1,0
2021/06/13 06:31:19,0,1
2021/06/13 06:31:21,1,0
2021/06/13 06:31:22,1,0
2021/06/13 06:31:27,1,0
2021/06/13 06:31:36,0,1
2021/06/13 06:31:39,0,1
2021/06/13 06:31:42,0,1
2021/06/13 06:31:42,1,0
2021/06/13 06:31:44,0,1
2021/06/13 06:31:45,1,0
2021/06/13 06:31:47,1,0
2021/06/13 06:31:52,1,0
2021/06/13 06:31:55,0,1
2021/06/13 06:31:59,0,1
2021/06/13 06:32:02,0,1
2021/06/13 06:32:04,1,0
2021/06/13 06:32:07,1,0
2021/06/13 06:32:08,0,1
2021/06/13 06:32:08,1,0
2021/06/13 06:32:08,0,1
2021/06/13 06:32:09,0,1
2021/06/13 06:32:11,1,0
2021/06/13 06:32:11,0,1
2021/06/13 06:32:12,1,0
2021/06/13 06:32:14,1,0
2021/06/13 06:32:16,0,1
2021/06/13 06:32:17,0,1
2021/06/13 06:32:18,1,0
2021/06/13 06:32:20,1,0
2021/06/13 06:32:22,0,1
2021/06/13 06:32:22,1,0
2021/06/13 06:32:23,1,0
2021/06/13 06:32:23,1,0
2021/06/13 06:32:23,1,0
2021/06/13 06:32:24,0,1
2021/06/13 06:32:24,1,0
2021/06/13 06:32:26,0,1
2021/06/13 06:32:26,1,0
2021/06/13 06:32:27,1,0
2021/06/13 06:32:27,1,0
2021/06/13 06:32:28,0,1
2021/06/13 06:32:30,1,0
2021/06/13 06:32:33,1,0
2021/06/13 06:32:34,1,0
2021/06/13 06:32:38,0,1
2021/06/13 06:32:40,0,1
2021/06/13 06:32:45,0,1
2021/06/13 06:32:48,1,0
2021/06/13 06:32:48,0,1
2021/06/13 06:32:49,1,0
2021/06/13 06:32:49,0,1
2021/06/13 06:32:49,1,0
2021/06/13 06:32:49,0,1
2021/06/13 06:32:49,0,1
2021/06/13 06:32:51,1,0
2021/06/13 06:32:53,1,0
2021/06/13 06:32:58,0,1
2021/06/13 06:32:58,1,0
2021/06/13 06:33:01,1,0
2021/06/13 06:33:03,0,1
2021/06/13 06:33:08,1,0
2021/06/13 06:33:09,1,0
2021/06/13 06:33:10,1,0
2021/06/13 06:33:12,0,1
2021/06/13 06:33:13,0,1
2021/06/13 06:33:20,1,0
2021/06/13 06:33:22,1,0
2021/06/13 06:33:24,0,1
2021/06/13 06:33:26,0,1
2021/06/13 06:33:26,0,1
2021/06/13 06:33:27,1,0
2021/06/13 06:33:31,0,1
2021/06/13 06:33:32,0,1
2021/06/13 06:33:34,1,0
2021/06/13 06:33:36,0,1
2021/06/13 06:33:36,0,1
2021/06/13 06:33:38,1,0
2021/06/13 06:33:38,0,1
2021/06/13 06:33:39,1,0
2021/06/13 06:33:40,1,0
2021/06/13 06:33:41,1,0
2021/06/13 06:33:44,1,0
2021/06/13 06:33:46,1,0
2021/06/13 06:33:51,0,1
2021/06/13 06:33:53,1,0
2021/06/13 06:33:53,1,0
2021/06/13 06:33:55,0,1
2021/06/13 06:33:59,1,0
2021/06/13 06:33:59,1,0
2021/06/13 06:34:01,0,1
2021/06/13 06:34:01,1,0
2021/06/13 06:34:04,0,1
2021/06/13 06:34:05,0,1
2021/06/13 06:34:10,0,1
2021/06/13 06:34:20,0,1
2021/06/13 06:34:23,1,0
2021/06/13 06:34:26,0,1
2021/06/13 06:34:36,1,0
2021/06/13 06:34:36,0,1
2021/06/13 06:34:40,1,0
2021/06/13 06:34:46,0,1
2021/06/13 06:34:46,1,0
2021/06/13 06:34:47,1,0
2021/06/13 06:34:51,1,0
2021/06/13 06:34:54,1,0
2021/06/13 06:34:56,1,0
2021/06/13 06:35:00,1,0
2021/06/13 06:35:01,0,1
2021/06/13 06:35:03,0,1
2021/06/13 06:35:05,1,0
2021/06/13 06:35:06,0,1
2021/06/13 06:35:08,1,0
2021/06/13 06:35:11,0,1
2021/06/13 06:35:13,1,0
2021/06/13 06:35:14,1,0
2021/06/13 06:35:15,0,1
2021/06/13 06:35:15,1,0
2021/06/13 06:35:16,1,0
2021/06/13 06:35:18,0,1
2021/06/13 06:35:19,1,0
2021/06/13 06:35:19,0,1
2021/06/13 06:35:21,1,0
2021/06/13 06:35:25,0,1
2021/06/13 06:35:27,0,1
2021/06/13 06:35:30,1,0
2021/06/13 06:35:30,1,0
2021/06/13 06:35:36,1,0
2021/06/13 06:35:39,0,1
2021/06/13 06:35:39,1,0
2021/06/13 06:35:39,0,1
2021/06/13 06:35:42,1,0
2021/06/13 06:35:42,1,0
2021/06/13 06:35:42,1,0
2021/06/13 06:35:44,0,1
2021/06/13 06:35:45,1,0
2021/06/13 06:35:45,1,0
2021/06/13 06:35:53,0,1
2021/06/13 06:35:55,0,1
2021/06/13 06:36:03,1,0
2021/06/13 06:36:07,0,1
2021/06/13 06:36:09,1,0
2021/06/13 06:36:13,1,0
2021/06/13 06:36:20,1,0
2021/06/13 06:36:24,1,0
2021/06/13 06:36:25,1,0
2021/06/13 06:36:26,1,0
2021/06/13 06:36:26,1,0
2021/06/13 06:36:28,1,0
2021/06/13 06:36:29,0,1
2021/06/13 06:36:30,1,0
2021/06/13 06:36:32,0,1
2021/06/13 06:36:33,0,1
2021/06/13 06:36:36,1,0
2021/06/13 06:36:38,1,0
2021/06/13 06:36:40,1,0
2021/06/13 06:36:47,1,0
2021/06/13 06:36:48,1,0
2021/06/13 06:36:54,1,0
2021/06/13 06:36:55,0,1
2021/06/13 06:36:56,1,0
2021/06/13 06:36:57,1,0
2021/06/13 06:36:57,1,0
2021/06/13 06:37:03,1,0
2021/06/13 06:37:08,1,0
2021/06/13 06:37:10,0,1
2021/06/13 06:37:11,0,1
2021/06/13 06:37:12,1,0
2021/06/13 06:37:13,1,0
2021/06/13 06:37:14,1,0
2021/06/13 06:37:16,1,0
2021/06/13 06:37:17,1,0
2021/06/13 06:37:19,1,0
2021/06/13 06:37:19,0,1
2021/06/13 06:37:21,0,1
2021/06/13 06:37:24,1,0
2021/06/13 06:37:24,1,0
2021/06/13 06:37:25,1,0
2021/06/13 06:37:26,1,0
2021/06/13 06:37:27,1,0
2021/06/13 06:37:28,1,0
2021/06/13 06:37:30,1,0
2021/06/13 06:37:31,1,0
2021/06/13 06:37:31,1,0
2021/06/13 06:37:33,1,0
2021/06/13 06:37:35,1,0
2021/06/13 06:37:35,1,0
2021/06/13 06:37:37,1,0
2021/06/13 06:37:38,0,1
2021/06/13 06:37:38,1,0
2021/06/13 06:37:39,1,0
2021/06/13 06:37:39,1,0
2021/06/13 06:37:41,1,0
2021/06/13 06:37:41,0,1
2021/06/13 06:37:41,1,0
2021/06/13 06:37:43,1,0
2021/06/13 06:37:43,0,1
2021/06/13 06:37:44,1,0
2021/06/13 06:37:52,0,1
2021/06/13 06:37:53,1,0
2021/06/13 06:37:54,0,1
2021/06/13 06:37:55,1,0
2021/06/13 06:37:57,1,0
2021/06/13 06:37:59,1,0
2021/06/13 06:38:01,1,0
2021/06/13 06:38:01,0,1
2021/06/13 06:38:02,0,1
2021/06/13 06:38:03,0,1
2021/06/13 06:38:06,1,0
2021/06/13 06:38:06,1,0
2021/06/13 06:38:10,0,1
2021/06/13 06:38:12,1,0
2021/06/13 06:38:13,0,1
2021/06/13 06:38:13,1,0
2021/06/13 06:38:14,1,0
2021/06/13 06:38:15,0,1
2021/06/13 06:38:19,0,1
2021/06/13 06:38:22,0,1
2021/06/13 06:38:25,1,0
2021/06/13 06:38:25,1,0
2021/06/13 06:38:29,1,0
2021/06/13 06:38:30,1,0
2021/06/13 06:38:31,1,0
2021/06/13 06:38:31,0,1
2021/06/13 06:38:31,0,1
2021/06/13 06:38:35,0,1
2021/06/13 06:38:37,1,0
2021/06/13 06:38:37,0,1
2021/06/13 06:38:43,1,0
2021/06/13 06:38:43,0,1
2021/06/13 06:38:47,1,0
2021/06/13 06:38:49,1,0
2021/06/13 06:38:49,1,0
2021/06/13 06:38:52,1,0
2021/06/13 06:38:53,0,1
2021/06/13 06:39:00,0,1
2021/06/13 06:39:02,0,1
2021/06/13 06:39:02,1,0
2021/06/13 06:39:07,1,0
2021/06/13 06:39:08,1,0
2021/06/13 06:39:08,1,0
2021/06/13 06:39:10,1,0
2021/06/13 06:39:10,1,0
2021/06/13 06:39:12,1,0
2021/06/13 06:39:14,0,1
2021/06/13 06:39:19,0,1
2021/06/13 06:39:22,0,1
2021/06/13 06:39:22,1,0
2021/06/13 06:39:23,1,0
2021/06/13 06:39:27,0,1
2021/06/13 06:39:31,1,0
2021/06/13 06:39:33,1,0
2021/06/13 06:39:36,1,0
2021/06/13 06:39:38,0,1
2021/06/13 06:39:41,0,1
2021/06/13 06:39:41,1,0
2021/06/13 06:39:42,1,0
2021/06/13 06:39:42,0,1
2021/06/13 06:39:44,1,0
2021/06/13 06:39:45,1,0
2021/06/13 06:39:45,1,0
2021/06/13 06:39:47,0,1
2021/06/13 06:39:49,1,0
2021/06/13 06:39:49,0,1
2021/06/13 06:39:51,0,1
2021/06/13 06:39:51,1,0
2021/06/13 06:39:53,1,0
2021/06/13 06:39:54,1,0
2021/06/13 06:39:55,1,0
2021/06/13 06:39:55,1,0
2021/06/13 06:39:57,1,0
2021/06/13 06:39:57,1,0
2021/06/13 06:39:58,0,1
