Date,WinWinRobotSumoWL80SD12FOV,WinWinRobotSumoWL200SD30FOV
2021/06/14 10:09:20,1,0
2021/06/14 10:09:20,1,0
2021/06/14 10:09:21,1,0
2021/06/14 10:09:21,1,0
2021/06/14 10:09:21,1,0
2021/06/14 10:09:22,1,0
2021/06/14 10:09:22,1,0
2021/06/14 10:09:22,1,0
2021/06/14 10:09:22,1,0
2021/06/14 10:09:23,1,0
2021/06/14 10:09:23,0,1
2021/06/14 10:09:23,1,0
2021/06/14 10:09:24,1,0
2021/06/14 10:09:24,1,0
2021/06/14 10:09:24,1,0
2021/06/14 10:09:24,1,0
2021/06/14 10:09:24,1,0
2021/06/14 10:09:25,1,0
2021/06/14 10:09:25,1,0
2021/06/14 10:09:25,1,0
2021/06/14 10:09:25,1,0
2021/06/14 10:09:25,0,1
2021/06/14 10:09:25,1,0
2021/06/14 10:09:26,1,0
2021/06/14 10:09:26,1,0
2021/06/14 10:09:26,1,0
2021/06/14 10:09:26,1,0
2021/06/14 10:09:27,1,0
2021/06/14 10:09:27,1,0
2021/06/14 10:09:27,1,0
2021/06/14 10:09:27,1,0
2021/06/14 10:09:28,1,0
2021/06/14 10:09:28,1,0
2021/06/14 10:09:28,1,0
2021/06/14 10:09:28,0,1
2021/06/14 10:09:29,1,0
2021/06/14 10:09:29,1,0
2021/06/14 10:09:29,1,0
2021/06/14 10:09:30,1,0
2021/06/14 10:09:30,1,0
2021/06/14 10:09:30,1,0
2021/06/14 10:09:30,1,0
2021/06/14 10:09:31,1,0
2021/06/14 10:09:31,1,0
2021/06/14 10:09:31,1,0
2021/06/14 10:09:32,1,0
2021/06/14 10:09:32,1,0
2021/06/14 10:09:33,1,0
2021/06/14 10:09:34,1,0
2021/06/14 10:09:34,1,0
2021/06/14 10:09:36,1,0
2021/06/14 10:09:36,1,0
2021/06/14 10:09:36,1,0
2021/06/14 10:09:37,0,1
2021/06/14 10:09:38,1,0
2021/06/14 10:09:38,1,0
2021/06/14 10:09:38,1,0
2021/06/14 10:09:38,1,0
2021/06/14 10:09:39,1,0
2021/06/14 10:09:39,1,0
2021/06/14 10:09:39,1,0
2021/06/14 10:09:40,1,0
2021/06/14 10:09:40,1,0
2021/06/14 10:09:40,1,0
2021/06/14 10:09:40,1,0
2021/06/14 10:09:41,1,0
2021/06/14 10:09:42,1,0
2021/06/14 10:09:42,0,1
2021/06/14 10:09:42,1,0
2021/06/14 10:09:42,1,0
2021/06/14 10:09:43,1,0
2021/06/14 10:09:43,1,0
2021/06/14 10:09:43,1,0
2021/06/14 10:09:43,1,0
2021/06/14 10:09:44,1,0
2021/06/14 10:09:44,1,0
2021/06/14 10:09:45,1,0
2021/06/14 10:09:46,1,0
2021/06/14 10:09:46,1,0
2021/06/14 10:09:46,1,0
2021/06/14 10:09:47,1,0
2021/06/14 10:09:47,1,0
2021/06/14 10:09:47,1,0
2021/06/14 10:09:47,1,0
2021/06/14 10:09:48,1,0
2021/06/14 10:09:48,1,0
2021/06/14 10:09:48,1,0
2021/06/14 10:09:48,0,1
2021/06/14 10:09:48,1,0
2021/06/14 10:09:48,1,0
2021/06/14 10:09:49,1,0
2021/06/14 10:09:49,1,0
2021/06/14 10:09:49,1,0
2021/06/14 10:09:50,1,0
2021/06/14 10:09:50,1,0
2021/06/14 10:09:50,1,0
2021/06/14 10:09:50,1,0
2021/06/14 10:09:51,1,0
2021/06/14 10:09:51,1,0
