Date,WinWinRobotSumoWL80SD12FOV,WinWinRobotSumoWL200SD30FOV
2021/06/14 10:09:03,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,1,0
2021/06/14 10:09:04,0,1
2021/06/14 10:09:05,0,1
2021/06/14 10:09:05,1,0
2021/06/14 10:09:05,1,0
2021/06/14 10:09:05,1,0
2021/06/14 10:09:05,1,0
2021/06/14 10:09:05,1,0
2021/06/14 10:09:05,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,1,0
2021/06/14 10:09:06,0,1
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,0,1
2021/06/14 10:09:07,1,0
2021/06/14 10:09:07,1,0
2021/06/14 10:09:08,1,0
2021/06/14 10:09:08,1,0
2021/06/14 10:09:08,1,0
2021/06/14 10:09:08,1,0
2021/06/14 10:09:09,1,0
2021/06/14 10:09:09,1,0
2021/06/14 10:09:09,1,0
2021/06/14 10:09:09,1,0
2021/06/14 10:09:09,1,0
2021/06/14 10:09:10,1,0
2021/06/14 10:09:10,1,0
2021/06/14 10:09:10,1,0
2021/06/14 10:09:10,1,0
2021/06/14 10:09:10,1,0
2021/06/14 10:09:11,1,0
2021/06/14 10:09:11,1,0
2021/06/14 10:09:11,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:12,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:13,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:14,1,0
2021/06/14 10:09:15,1,0
2021/06/14 10:09:15,1,0
2021/06/14 10:09:15,1,0
2021/06/14 10:09:15,1,0
2021/06/14 10:09:16,1,0
2021/06/14 10:09:16,0,1
2021/06/14 10:09:16,1,0
2021/06/14 10:09:16,1,0
2021/06/14 10:09:16,1,0
2021/06/14 10:09:17,1,0
2021/06/14 10:09:17,1,0
2021/06/14 10:09:17,1,0
2021/06/14 10:09:17,1,0
2021/06/14 10:09:17,1,0
2021/06/14 10:09:18,1,0
2021/06/14 10:09:18,1,0
2021/06/14 10:09:18,1,0
2021/06/14 10:09:18,1,0
2021/06/14 10:09:19,1,0
2021/06/14 10:09:19,1,0
2021/06/14 10:09:19,1,0
2021/06/14 10:09:19,1,0
2021/06/14 10:09:19,1,0
2021/06/14 10:09:20,1,0
2021/06/14 10:09:20,1,0
