Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/10 10:12:49,0,1
2021/06/10 10:12:51,0,1
2021/06/10 10:12:52,1,0
2021/06/10 10:12:55,0,1
2021/06/10 10:12:55,1,0
2021/06/10 10:12:55,1,0
2021/06/10 10:12:58,0,1
2021/06/10 10:12:59,0,1
2021/06/10 10:12:59,0,1
2021/06/10 10:12:59,0,1
2021/06/10 10:13:00,1,0
2021/06/10 10:13:00,1,0
2021/06/10 10:13:04,1,0
2021/06/10 10:13:07,1,0
2021/06/10 10:13:07,1,0
2021/06/10 10:13:08,0,1
2021/06/10 10:13:09,1,0
2021/06/10 10:13:10,1,0
2021/06/10 10:13:13,1,0
2021/06/10 10:13:14,0,1
2021/06/10 10:13:18,0,1
2021/06/10 10:13:22,1,0
2021/06/10 10:13:22,1,0
2021/06/10 10:13:25,0,1
2021/06/10 10:13:27,0,1
2021/06/10 10:13:28,1,0
2021/06/10 10:13:34,1,0
2021/06/10 10:13:36,1,0
2021/06/10 10:13:38,1,0
2021/06/10 10:13:39,1,0
2021/06/10 10:13:39,1,0
2021/06/10 10:13:42,1,0
2021/06/10 10:13:42,1,0
2021/06/10 10:13:42,1,0
2021/06/10 10:13:43,1,0
2021/06/10 10:13:46,0,1
2021/06/10 10:13:47,1,0
2021/06/10 10:13:51,1,0
2021/06/10 10:13:53,0,1
2021/06/10 10:13:54,0,1
2021/06/10 10:13:57,1,0
2021/06/10 10:13:57,0,1
2021/06/10 10:14:01,1,0
2021/06/10 10:14:02,1,0
2021/06/10 10:14:02,0,1
2021/06/10 10:14:07,1,0
2021/06/10 10:14:10,0,1
2021/06/10 10:14:12,0,1
2021/06/10 10:14:13,1,0
2021/06/10 10:14:16,1,0
2021/06/10 10:14:19,1,0
2021/06/10 10:14:22,0,1
2021/06/10 10:14:28,1,0
2021/06/10 10:14:31,1,0
2021/06/10 10:14:32,1,0
2021/06/10 10:14:35,1,0
2021/06/10 10:14:36,0,1
2021/06/10 10:14:36,1,0
2021/06/10 10:14:37,1,0
2021/06/10 10:14:37,0,1
2021/06/10 10:14:37,0,1
2021/06/10 10:14:40,1,0
2021/06/10 10:14:44,0,1
2021/06/10 10:14:46,0,1
2021/06/10 10:14:46,1,0
2021/06/10 10:14:48,0,1
2021/06/10 10:14:50,0,1
2021/06/10 10:14:50,1,0
2021/06/10 10:14:51,1,0
2021/06/10 10:14:52,1,0
2021/06/10 10:14:52,0,1
2021/06/10 10:14:55,0,1
2021/06/10 10:14:58,1,0
2021/06/10 10:15:00,0,1
2021/06/10 10:15:00,1,0
2021/06/10 10:15:00,0,1
2021/06/10 10:15:02,0,1
2021/06/10 10:15:03,1,0
2021/06/10 10:15:04,1,0
2021/06/10 10:15:09,1,0
2021/06/10 10:15:16,1,0
2021/06/10 10:15:17,0,1
