Date,WinCL,WinWL
2021/05/26 05:10:39,1,0
2021/05/26 05:10:41,1,0
2021/05/26 05:10:57,0,1
2021/05/26 05:11:00,0,1
2021/05/26 05:11:04,0,1
2021/05/26 05:11:08,1,0
2021/05/26 05:11:16,0,1
2021/05/26 05:11:21,0,1
2021/05/26 05:11:25,0,1
2021/05/26 05:11:31,1,0
2021/05/26 05:11:32,1,0
2021/05/26 05:11:35,1,0
2021/05/26 05:11:40,0,1
2021/05/26 05:11:41,0,1
2021/05/26 05:11:45,0,1
2021/05/26 05:11:45,1,0
2021/05/26 05:11:46,0,1
2021/05/26 05:11:49,1,0
2021/05/26 05:12:02,0,1
2021/05/26 05:12:07,0,1
2021/05/26 05:12:10,1,0
2021/05/26 05:12:31,1,0
2021/05/26 05:12:43,1,0
2021/05/26 05:12:51,0,1
